Title,Created Date, Modified Date,Severity Level,Status
[Legitimate Application Dropped Archive](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_legitimate_app_dropping_archive.yml),2022-08-21,2022-08-21,high,test
[Legitimate Application Dropped Executable](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_legitimate_app_dropping_exe.yml),2022-08-21,2023-06-22,high,test
[Legitimate Application Dropped Script](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_legitimate_app_dropping_script.yml),2022-08-21,2023-06-22,high,test
[Suspicious LNK Double Extension File Created](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_lnk_double_extension.yml),2022-11-07,2023-10-18,medium,test
[Suspicious PFX File Creation](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_pfx_file_creation.yml),2020-05-02,2022-07-07,medium,test
[PowerShell Profile Modification](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_powershell_profile.yml),2019-10-24,2023-10-23,medium,test
[Suspicious PROCEXP152.sys File Created In TMP](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_procexplorer_driver_created_in_tmp_folder.yml),2019-04-08,2022-11-22,medium,test
[Suspicious Binaries and Scripts in Public Folder](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_public_folder_extension.yml),2025-01-23,2025-01-23,high,experimental
[Suspicious File Creation Activity From Fake Recycle.Bin Folder](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_recycle_bin_fake_exec.yml),2023-07-12,2023-12-11,high,test
[Potential File Extension Spoofing Using Right-to-Left Override](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_right_to_left_override_extension_spoofing.yml),2024-11-17,2024-11-17,high,experimental
[Drop Binaries Into Spool Drivers Color Folder](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_spool_drivers_color_drop.yml),2022-07-28,2022-07-28,medium,test
[Suspicious Startup Folder Persistence](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_startup_folder_persistence.yml),2022-08-10,2023-01-06,high,test
[Suspicious Interactive PowerShell as SYSTEM](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_system_interactive_powershell.yml),2021-12-07,2022-08-13,high,test
[Suspicious Scheduled Task Write to System32 Tasks](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_task_write.yml),2021-11-16,2022-01-12,high,test
[TeamViewer Remote Session](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_teamviewer_remote_session.yml),2022-01-30,2022-01-30,medium,test
[VsCode Powershell Profile Modification](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_vscode_powershell_profile.yml),2022-08-24,2023-01-06,medium,test
[Potentially Suspicious WDAC Policy File Creation](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_wdac_policy_creation.yml),2025-02-07,2025-04-21,medium,experimental
[Windows Terminal Profile Settings Modification By Uncommon Process](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_windows_terminal_profile.yml),2023-07-22,2023-07-22,medium,test
[WinSxS Executable File Creation By Non-System Process](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_susp_winsxs_binary_creation.yml),2023-05-11,2023-05-11,medium,test
[LiveKD Kernel Memory Dump File Created](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_sysinternals_livekd_default_dump_name.yml),2023-05-16,2023-05-16,high,test
[LiveKD Driver Creation](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_sysinternals_livekd_driver.yml),2023-05-16,2023-05-16,medium,test
[LiveKD Driver Creation By Uncommon Process](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_sysinternals_livekd_driver_susp_creation.yml),2023-05-16,2023-05-16,high,test
[Process Explorer Driver Creation By Non-Sysinternals Binary](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_sysinternals_procexp_driver_susp_creation.yml),2023-05-05,2023-05-05,high,test
[Process Monitor Driver Creation By Non-Sysinternals Binary](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_sysinternals_procmon_driver_susp_creation.yml),2023-05-05,2023-05-05,medium,test
[PsExec Service File Creation](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_sysinternals_psexec_service.yml),2017-06-12,2022-10-26,low,test
[PSEXEC Remote Execution File Artefact](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_sysinternals_psexec_service_key.yml),2023-01-21,2023-02-23,high,test
[Potential Privilege Escalation Attempt Via .Exe.Local Technique](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_system32_local_folder_privilege_escalation.yml),2022-12-16,2022-12-19,high,test
[LSASS Process Memory Dump Creation Via Taskmgr.EXE](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_taskmgr_lsass_dump.yml),2023-10-19,2023-10-19,high,test
[Hijack Legit RDP Session to Move Laterally](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_tsclient_filewrite_startup.yml),2019-02-21,2021-11-27,high,test
[UAC Bypass Using Consent and Comctl32 - File](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_uac_bypass_consent_comctl32.yml),2021-08-23,2022-10-09,high,test
[UAC Bypass Using .NET Code Profiler on MMC](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_uac_bypass_dotnet_profiler.yml),2021-08-30,2022-10-09,high,test
[UAC Bypass Using EventVwr](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_uac_bypass_eventvwr.yml),2022-04-27,2022-11-22,high,test
[UAC Bypass Using IDiagnostic Profile - File](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_uac_bypass_idiagnostic_profile.yml),2022-07-03,2022-07-03,high,test
[UAC Bypass Using IEInstal - File](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_uac_bypass_ieinstal.yml),2021-08-30,2022-10-09,high,test
[UAC Bypass Using MSConfig Token Modification - File](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_uac_bypass_msconfig_gui.yml),2021-08-30,2022-10-09,high,test
[UAC Bypass Using NTFS Reparse Point - File](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_uac_bypass_ntfs_reparse_point.yml),2021-08-30,2022-10-09,high,test
[UAC Bypass Abusing Winsat Path Parsing - File](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_uac_bypass_winsat.yml),2021-08-30,2022-10-09,high,test
[UAC Bypass Using Windows Media Player - File](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_uac_bypass_wmp.yml),2021-08-23,2022-10-09,high,test
[VHD Image Download Via Browser](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_vhd_download_via_browsers.yml),2021-10-25,2023-05-05,medium,test
[Visual Studio Code Tunnel Remote File Creation](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_vscode_tunnel_remote_creation_artefacts.yml),2023-10-25,2023-10-25,medium,test
[Renamed VsCode Code Tunnel Execution - File Indicator](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_vscode_tunnel_renamed_execution.yml),2023-10-25,2023-10-25,high,test
[Potential Webshell Creation On Static Website](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_webshell_creation_detect.yml),2019-10-22,2023-10-15,medium,test
[Creation of WerFault.exe/Wer.dll in Unusual Folder](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_werfault_dll_hijacking.yml),2022-05-09,2024-11-28,medium,test
[AWL Bypass with Winrm.vbs and Malicious WsmPty.xsl/WsmTxt.xsl - File](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_winrm_awl_bypass.yml),2020-10-06,2022-11-28,medium,test
[Wmiexec Default Output File](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_wmiexec_default_filename.yml),2022-06-02,2023-03-08,critical,test
[Wmiprvse Wbemcomn DLL Hijack - File](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_wmiprvse_wbemcomn_dll_hijack.yml),2020-10-12,2022-12-02,critical,test
[WMI Persistence - Script Event Consumer File Write](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_wmi_persistence_script_event_consumer_write.yml),2018-03-07,2021-11-27,high,test
[UEFI Persistence Via Wpbbin - FileCreation](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_wpbbin_persistence.yml),2022-07-18,2022-07-18,high,test
[Writing Local Admin Share](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_event/file_event_win_writing_local_admin_share.yml),2022-01-01,2022-08-13,medium,test
[Potentially Suspicious Self Extraction Directive File Created](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_executable_detected/file_executable_detected_win_susp_embeded_sed_file.yml),2024-02-05,2024-02-05,medium,test
[Suspicious Appended Extension](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/file/file_rename/file_rename_win_ransomware.yml),2022-07-16,2023-11-11,medium,test
[Clfs.SYS Loaded By Process Located In a Potential Suspicious Location](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_clfs_load.yml),2025-01-20,2025-01-20,medium,experimental
[DLL Loaded From Suspicious Location Via Cmspt.EXE](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_cmstp_load_dll_from_susp_location.yml),2022-08-30,2023-02-17,high,test
[Amsi.DLL Loaded Via LOLBIN Process](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_amsi_suspicious_process.yml),2023-06-01,2023-09-20,medium,test
[Potential Azure Browser SSO Abuse](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_azure_microsoft_account_token_provider_dll_load.yml),2020-07-15,2023-04-18,low,test
[Suspicious Renamed Comsvcs DLL Loaded By Rundll32](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_comsvcs_load_renamed_version_by_rundll32.yml),2022-08-14,2023-02-17,high,test
[CredUI.DLL Loaded By Uncommon Process](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_credui_uncommon_process_load.yml),2020-10-20,2023-07-28,medium,test
[Suspicious Unsigned Dbghelp/Dbgcore DLL Loaded](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_dbghelp_dbgcore_unsigned_load.yml),2019-10-27,2022-12-09,high,test
[PCRE.NET Package Image Load](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_pcre_dotnet_dll_load.yml),2020-10-29,2022-10-09,high,test
[Load Of RstrtMgr.DLL By A Suspicious Process](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_rstrtmgr_suspicious_load.yml),2023-11-28,2023-11-28,high,test
[Load Of RstrtMgr.DLL By An Uncommon Process](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_rstrtmgr_uncommon_load.yml),2023-11-28,2023-11-28,low,test
[Diagnostic Library Sdiageng.DLL Loaded By Msdt.EXE](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_sdiageng_load_by_msdt.yml),2022-06-17,2023-02-17,high,test
[PowerShell Core DLL Loaded By Non PowerShell Process](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_system_management_automation_susp_load.yml),2019-11-14,2024-01-17,medium,test
[Time Travel Debugging Utility Usage - Image](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_tttracer_module_load.yml),2020-10-06,2022-12-02,high,test
[Suspicious Volume Shadow Copy Vssapi.dll Load](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_vssapi_susp_load.yml),2022-10-31,2023-05-03,high,test
[Potentially Suspicious Volume Shadow Copy Vsstrace.dll Load](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_vsstrace_susp_load.yml),2023-02-17,2025-01-19,medium,test
[Suspicious Volume Shadow Copy VSS_PS.dll Load](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_vss_ps_susp_load.yml),2021-07-07,2024-03-28,high,test
[HackTool - SharpEvtMute DLL Load](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_hktl_sharpevtmute.yml),2022-09-07,2024-11-23,high,test
[HackTool - SILENTTRINITY Stager DLL Load](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_hktl_silenttrinity_stager.yml),2019-10-22,2023-02-17,high,test
[Potential DCOM InternetExplorer.Application DLL Hijack - Image Load](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_iexplore_dcom_iertutil_dll_hijack.yml),2020-10-12,2022-12-18,critical,test
[Unsigned Image Loaded Into LSASS Process](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_lsass_unsigned_image_load.yml),2019-10-22,2021-11-27,medium,test
[DotNET Assembly DLL Loaded Via Office Application](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_office_dotnet_assembly_dll_load.yml),2020-02-19,2023-03-29,medium,test
[CLR DLL Loaded Via Office Applications](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_office_dotnet_clr_dll_load.yml),2020-02-19,2023-03-29,medium,test
[GAC DLL Loaded Via Office Applications](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_office_dotnet_gac_dll_load.yml),2020-02-19,2023-02-10,high,test
[Active Directory Parsing DLL Loaded Via Office Application](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_office_dsparse_dll_load.yml),2020-02-19,2023-03-28,medium,test
[Microsoft Excel Add-In Loaded From Uncommon Location](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_office_excel_xll_susp_load.yml),2023-05-12,2023-05-12,medium,test
[Active Directory Kerberos DLL Loaded Via Office Application](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_office_kerberos_dll_load.yml),2020-02-19,2023-03-28,medium,test
[Microsoft VBA For Outlook Addin Loaded Via Outlook](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_office_outlook_outlvba_load.yml),2023-02-08,2024-03-12,medium,test
[PowerShell Core DLL Loaded Via Office Application](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_office_powershell_dll_load.yml),2023-06-01,2023-06-01,medium,test
[VBA DLL Loaded Via Office Application](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_office_vbadll_load.yml),2020-02-19,2023-02-10,high,test
[Remote DLL Load Via Rundll32.EXE](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_rundll32_remote_share_load.yml),2023-09-18,2023-09-18,medium,test
[WMI ActiveScriptEventConsumers Activity Via Scrcons.EXE DLL Load](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_scrcons_wmi_scripteventconsumer.yml),2020-09-02,2023-02-22,medium,test
[Potential 7za.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_7za.yml),2023-06-09,2023-06-09,low,test
[Abusable DLL Potential Sideloading From Suspicious Location](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_abused_dlls_susp_paths.yml),2023-07-11,2023-07-11,high,test
[Potential Antivirus Software DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_antivirus.yml),2022-08-17,2023-03-13,medium,test
[Potential appverifUI.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_appverifui.yml),2023-06-20,2023-06-20,high,test
[Aruba Network Service Potential DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_aruba_networks_virtual_intranet_access.yml),2023-01-22,2023-03-15,high,test
[Potential AVKkid.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_avkkid.yml),2023-08-03,2023-08-03,medium,test
[Potential CCleanerDU.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_ccleaner_du.yml),2023-07-13,2023-07-13,medium,test
[Potential CCleanerReactivator.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_ccleaner_reactivator.yml),2023-07-13,2023-07-13,medium,test
[Potential Chrome Frame Helper DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_chrome_frame_helper.yml),2022-08-17,2023-05-15,medium,test
[Potential DLL Sideloading Via ClassicExplorer32.dll](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_classicexplorer32.yml),2022-12-13,2022-12-13,medium,test
[Potential DLL Sideloading Via comctl32.dll](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_comctl32.yml),2022-12-16,2022-12-19,high,test
[Potential DLL Sideloading Using Coregen.exe](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_coregen.yml),2022-12-31,2022-12-31,medium,test
[System Control Panel Item Loaded From Uncommon Location](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_cpl_from_non_system_location.yml),2024-01-09,2024-01-09,medium,test
[Potential DLL Sideloading Of DBGCORE.DLL](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_dbgcore.yml),2022-10-25,2023-05-05,medium,test
[Potential DLL Sideloading Of DBGHELP.DLL](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_dbghelp.yml),2022-10-25,2023-05-05,medium,test
[Potential DLL Sideloading Of DbgModel.DLL](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_dbgmodel.yml),2024-07-11,2024-07-22,medium,experimental
[Potential EACore.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_eacore.yml),2023-08-03,2023-08-03,high,test
[Potential Edputil.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_edputil.yml),2023-06-09,2023-06-09,high,test
[Potential System DLL Sideloading From Non System Locations](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_from_non_system_location.yml),2022-08-14,2024-07-11,high,experimental
[Potential Goopdate.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_goopdate.yml),2023-05-15,2023-05-20,medium,test
[Potential DLL Sideloading Of Libcurl.DLL Via GUP.EXE](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_gup_libcurl.yml),2023-05-05,2023-05-05,medium,test
[Potential Iviewers.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_iviewers.yml),2023-03-21,2023-03-21,high,test
[Potential DLL Sideloading Via JsSchHlp](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_jsschhlp.yml),2022-12-14,2022-12-14,medium,test
[Potential DLL Sideloading Of KeyScramblerIE.DLL Via KeyScrambler.EXE](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_keyscrambler.yml),2024-04-15,2024-04-15,high,test
[Potential Libvlc.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_libvlc.yml),2023-04-17,2023-04-17,medium,test
[Potential Mfdetours.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_mfdetours.yml),2023-08-03,2023-08-03,medium,test
[Unsigned Mfdetours.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_mfdetours_unsigned.yml),2023-08-11,2023-08-11,high,test
[Potential DLL Sideloading Of MpSvc.DLL](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_mpsvc.yml),2024-07-11,2024-07-11,medium,experimental
[Potential DLL Sideloading Of MsCorSvc.DLL](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_mscorsvc.yml),2024-07-11,2024-07-11,medium,experimental
[Potential DLL Sideloading Of Non-Existent DLLs From System Folders](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_non_existent_dlls.yml),2022-12-09,2024-01-10,high,test
[Microsoft Office DLL Sideload](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_office_dlls.yml),2022-08-17,2023-03-15,high,test
[Potential Python DLL SideLoading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_python.yml),2024-10-06,2024-10-06,medium,experimental
[Potential Rcdll.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_rcdll.yml),2023-03-13,2023-03-15,high,test
[Potential RjvPlatform.DLL Sideloading From Default Location](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_rjvplatform_default_location.yml),2023-06-09,2023-06-09,medium,test
[Potential RjvPlatform.DLL Sideloading From Non-Default Location](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_rjvplatform_non_default_location.yml),2023-06-09,2023-06-09,high,test
[Potential RoboForm.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_robform.yml),2023-05-14,2023-05-14,medium,test
[Potential ShellDispatch.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_shelldispatch.yml),2023-06-20,2023-06-20,medium,test
[DLL Sideloading Of ShellChromeAPI.DLL](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_shell_chrome_api.yml),2022-12-01,2022-12-01,high,test
[Potential SmadHook.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_smadhook.yml),2023-06-01,2023-06-01,high,test
[Potential SolidPDFCreator.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_solidpdfcreator.yml),2023-05-07,2023-05-07,medium,test
[Third Party Software DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_third_party.yml),2022-08-17,2022-08-17,medium,test
[Fax Service DLL Search Order Hijack](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_ualapi.yml),2020-05-04,2022-06-02,high,test
[Potential Vivaldi_elf.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_vivaldi_elf.yml),2023-08-03,2023-08-03,medium,test
[VMGuestLib DLL Sideload](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_vmguestlib.yml),2022-12-01,2022-12-01,medium,test
[VMMap Signed Dbghelp.DLL Potential Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_vmmap_dbghelp_signed.yml),2023-09-05,2023-09-05,medium,test
[VMMap Unsigned Dbghelp.DLL Potential Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_vmmap_dbghelp_unsigned.yml),2023-07-28,2023-09-05,high,test
[Potential DLL Sideloading Via VMware Xfer](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_vmware_xfer.yml),2022-08-02,2023-02-17,high,test
[Potential Waveedit.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_waveedit.yml),2023-06-14,2023-06-14,high,test
[Potential Wazuh Security Platform DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_wazuh.yml),2023-03-13,2023-05-12,medium,test
[Potential Mpclient.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_windows_defender.yml),2022-08-02,2023-08-04,high,test
[Potential WWlib.DLL Sideloading](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_side_load_wwlib.yml),2023-05-18,2023-05-18,medium,test
[Windows Spooler Service Suspicious Binary Load](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_spoolsv_dll_load.yml),2021-06-29,2022-06-02,informational,test
[Unsigned Module Loaded by ClickOnce Application](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_susp_clickonce_unsigned_module_loaded.yml),2023-06-08,2023-06-08,medium,test
[DLL Load By System Process From Suspicious Locations](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_susp_dll_load_system_process.yml),2022-07-17,2023-09-18,medium,test
[Python Image Load By Non-Python Process](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_susp_python_image_load.yml),2020-05-03,2023-09-18,medium,test
[DotNet CLR DLL Loaded By Scripting Applications](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_susp_script_dotnet_clr_dll_load.yml),2020-10-14,2023-02-23,high,test
[Unsigned DLL Loaded by Windows Utility](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_susp_unsigned_dll.yml),2024-02-28,2024-03-07,medium,test
[Suspicious Unsigned Thor Scanner Execution](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_thor_unsigned_execution.yml),2023-10-29,2023-10-29,high,stable
[UAC Bypass Using Iscsicpl - ImageLoad](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_uac_bypass_iscsicpl.yml),2022-07-17,2022-07-25,high,test
[UAC Bypass With Fake DLL](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_uac_bypass_via_dism.yml),2020-10-06,2022-12-25,high,test
[WMIC Loading Scripting Libraries](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_wmic_remote_xsl_scripting_dlls.yml),2020-10-17,2022-10-13,medium,test
[Wmiprvse Wbemcomn DLL Hijack](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_wmiprvse_wbemcomn_dll_hijack.yml),2020-10-12,2022-10-09,high,test
[WMI Persistence - Command Line Event Consumer](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_wmi_persistence_commandline_event_consumer.yml),2018-03-07,2021-11-27,high,test
[Suspicious WSMAN Provider Image Loads](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_wsman_provider_image_load.yml),2020-06-24,2022-10-07,medium,test
